RULENAME,Original_Original,m1_GhoAToken_4.sol,m2_GhoAToken_5.sol,m3_GhoAToken_7.sol,m4_GhoAToken_6.sol,m5_GhoAToken_2.sol,m6_GhoAToken_3.sol,m7_GhoAToken_1.sol,m8_GhoAToken_0.sol,m9_GhoAToken_Participation.sol,m10_GhoAToken_8.sol,m11_GhoVariableDebtToken_9_M.sol,m12_GhoVariableDebtToken_8_H.sol,m13_GhoVariableDebtToken_10_M.sol,m14_GhoVariableDebtToken_6_H.sol,m16_GhoVariableDebtToken_0_M.sol,m17_GhoVariableDebtToken_12_H.sol,m18_GhoVariableDebtToken_4_H.sol,m19_GhoVariableDebtToken_11_M.sol,m20_GhoVariableDebtToken_1_H.sol,m21_GhoVariableDebtToken_5_M.sol,m22_GhoVariableDebtToken_13_H.sol,m23_GhoVariableDebtToken_7_H.sol
integrityMint_atoken,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfBalanceOf_fullDiscount,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfBalanceOf_noDiscount,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
OnlyPoolCanChangeBalance,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
allowance_decrease_correctly,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
prop5,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS
only_discountToken_calls_updateDiscountDistribution,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
initialize_integrity,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
envfreeFuncsStaticCheck,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
no_discount_balance,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
less_debtBalance_more_discountRate,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL
integrityOfMint_userIsolation,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
onlyMintForUserCanIncreaseUsersBalance,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfBurn_updateDiscountRate,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL
integrityOfBurn_userIsolation,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfBurn_updateIndex,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfBurn_fullRepay_concrete,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL
integrityOfRebalanceUserDiscountPercent_updateDiscountRate,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfRebalanceUserDiscountPercent_decreaseScaledBalance,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfRebalanceUserDiscountPercent_updateIndex,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfRebalanceUserDiscountPercent_userIsolation,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfBalanceOf_zeroScaledBalance,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
burnAllDebtReturnsZeroDebt,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL
only_ghoToken_decreases_accumulated,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAIL,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfUpdateDiscountDistribution_updateIndex,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAIL,SUCCESS,SUCCESS,SUCCESS
integrityOfUpdateDiscountDistribution_userIsolation,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfMint_updateScaledBalance_fixedIndex,FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL
integrityOfMint_updateIndex,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityOfMint_updateDiscountRate,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,SUCCESS
disallowedFunctionalities,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
burnZeroDoesntChangeBalance,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,SUCCESS,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL
unit_mint,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL
nonMintFunctionCantIncreaseBalance,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL
